prep_use_pca,prep_pca_components,prep_normalization,svm_kernel,svm_C,cv_mean,cv_std,test_score,training_time,svm_gamma,svm_degree,svm_coef0
False,,standard,poly,0.1,0.3106666666666667,0.02317086292931035,0.2875,15.9386727809906,scale,2.0,0.5
False,,standard,poly,0.1,0.32,0.016573070526208086,0.335,16.107177734375,scale,2.0,1.0
False,,standard,poly,0.1,0.33666666666666667,0.01087300428686671,0.34,16.061579942703247,scale,2.0,2.0
False,,standard,poly,0.1,0.15066666666666664,0.004988876515698593,0.1625,17.959650993347168,scale,3.0,0.0
False,,standard,poly,0.1,0.17333333333333334,0.015691469727919762,0.1825,17.72554612159729,scale,3.0,0.1
False,,standard,poly,0.1,0.2833333333333333,0.01806162291219208,0.335,16.014679193496704,scale,3.0,0.5
False,,standard,poly,0.1,0.332,0.01883259585576737,0.37,15.239351749420166,scale,3.0,1.0
False,,standard,poly,0.1,0.3553333333333333,0.024073960113690382,0.375,14.501127243041992,scale,3.0,2.0
False,,standard,poly,0.1,0.138,0.010198039027185565,0.1275,17.552021741867065,scale,4.0,0.0
False,,standard,poly,0.1,0.1366666666666667,0.009285592184789412,0.1825,16.634068965911865,scale,4.0,0.1
False,,standard,poly,0.1,0.3506666666666667,0.02876726534718856,0.3675,16.018282651901245,scale,4.0,1.0
False,,standard,poly,0.1,0.274,0.02416609194718914,0.3325,17.587480306625366,scale,4.0,0.5
False,,standard,poly,0.1,0.34400000000000003,0.017048949136725885,0.335,15.865960121154785,scale,4.0,2.0
False,,standard,poly,0.1,0.13733333333333334,0.011115554667022041,0.14,17.097065210342407,scale,5.0,0.0
False,,standard,poly,0.1,0.16533333333333333,0.0024944382578492965,0.155,16.931516408920288,scale,5.0,0.1
False,,standard,poly,0.1,0.254,0.02790459938194179,0.285,16.70113182067871,scale,5.0,0.5
False,,standard,poly,0.1,0.33466666666666667,0.00679869268479036,0.375,15.561882734298706,scale,5.0,1.0
False,,standard,poly,0.1,0.34,0.005656854249492359,0.32,15.584062576293945,scale,5.0,2.0
False,,standard,poly,0.1,0.14,0.018832595855767378,0.1175,17.245317935943604,auto,2.0,0.0
False,,standard,poly,0.1,0.206,0.009092121131323903,0.2525,18.18881845474243,auto,2.0,0.1
False,,standard,poly,0.1,0.30666666666666664,0.01309792180292568,0.345,17.028144359588623,auto,2.0,0.5
False,,standard,poly,0.1,0.3233333333333333,0.020154955277107964,0.3475,15.137887001037598,auto,2.0,1.0
False,,standard,poly,0.1,0.3193333333333333,0.008379870059984364,0.365,15.131537199020386,auto,2.0,2.0
False,,standard,poly,0.1,0.19733333333333333,0.006182412330330462,0.22,16.87990117073059,auto,3.0,0.0
False,,standard,poly,0.1,0.18000000000000002,0.01336662510384228,0.18,16.525753498077393,auto,3.0,0.1
False,,standard,poly,0.1,0.3113333333333333,0.018061622912192106,0.34,17.286125898361206,auto,3.0,0.5
False,,standard,poly,0.1,0.3499999999999999,0.03212475680841803,0.32,15.805018186569214,auto,3.0,1.0
False,,standard,poly,0.1,0.3539999999999999,0.01019803902718558,0.375,14.849793434143066,auto,3.0,2.0
False,,standard,poly,0.1,0.132,0.0016329931618554536,0.155,17.563129425048828,auto,4.0,0.0
False,,standard,poly,0.1,0.15933333333333333,0.015691469727919762,0.17,17.096400022506714,auto,4.0,0.1
False,,standard,poly,0.1,0.27266666666666667,0.01062491830033947,0.335,16.460163831710815,auto,4.0,0.5
False,,standard,poly,0.1,0.3746666666666667,0.02594010194445829,0.415,15.144564628601074,auto,4.0,1.0
False,,standard,poly,0.1,0.34733333333333327,0.010624918300339473,0.325,15.401767015457153,auto,4.0,2.0
False,,standard,poly,0.1,0.13133333333333333,0.010624918300339483,0.145,16.52445960044861,auto,5.0,0.0
False,,standard,poly,0.1,0.15200000000000002,0.0139522996909709,0.17,17.244901180267334,auto,5.0,0.1
False,,standard,poly,0.1,0.252,0.00489897948556636,0.305,16.38530707359314,auto,5.0,0.5
False,,standard,poly,0.1,0.3313333333333333,0.022939534045447005,0.355,15.281303882598877,auto,5.0,1.0
False,,standard,poly,0.1,0.324,0.0065319726474218145,0.365,15.838977098464966,auto,5.0,2.0
False,,standard,poly,0.1,0.27,0.024055491403558282,0.245,15.721243619918823,0.001,2.0,0.0
False,,standard,poly,0.1,0.30666666666666664,0.031510139461590585,0.325,14.575884103775024,0.001,2.0,0.1
False,,standard,poly,0.1,0.3473333333333333,0.010370899457402681,0.37,14.286429405212402,0.001,2.0,0.5
False,,standard,poly,0.1,0.3546666666666667,0.008055363982396388,0.3725,14.487828016281128,0.001,2.0,1.0
False,,standard,poly,0.1,0.3706666666666667,0.011585431464655188,0.41,14.319390058517456,0.001,2.0,2.0
False,,standard,poly,0.1,0.2906666666666667,0.019067132861433453,0.315,16.90663456916809,0.001,3.0,0.0
False,,standard,poly,0.1,0.25266666666666665,0.006182412330330475,0.2825,17.008914709091187,0.001,3.0,0.1
False,,standard,poly,0.1,0.29400000000000004,0.022627416997969517,0.3525,16.357608795166016,0.001,3.0,0.5
False,,standard,poly,0.1,0.3453333333333333,0.00679869268479036,0.3225,16.372053623199463,0.001,3.0,1.0
False,,standard,poly,0.1,0.3486666666666666,0.0073635740114581585,0.3525,16.11558222770691,0.001,3.0,2.0
False,,standard,poly,0.1,0.20866666666666667,0.020154955277107957,0.2425,17.6844322681427,0.001,4.0,0.0
False,,standard,poly,0.1,0.256,0.012328828005937964,0.3025,17.50787925720215,0.001,4.0,0.1
False,,standard,poly,0.1,0.264,0.023151673805580444,0.245,18.032544374465942,0.001,4.0,0.5
False,,standard,poly,0.1,0.322,0.021228911104120896,0.3575,17.51652455329895,0.001,4.0,1.0
False,,standard,poly,0.1,0.33066666666666666,0.01517307556898805,0.3375,16.574324369430542,0.001,4.0,2.0
False,,standard,poly,0.1,0.2026666666666667,0.0024944382578492843,0.2025,17.683462142944336,0.001,5.0,0.0
False,,standard,poly,0.1,0.19066666666666668,0.015173075568988047,0.25,17.5030677318573,0.001,5.0,0.1
False,,standard,poly,0.1,0.248,0.010708252269472671,0.2925,17.754010438919067,0.001,5.0,0.5
False,,standard,poly,0.1,0.2826666666666667,0.020154955277107957,0.2875,17.514796495437622,0.001,5.0,1.0
False,,standard,poly,0.1,0.32066666666666666,0.006599663291074449,0.3725,17.13947629928589,0.001,5.0,2.0
False,,standard,poly,0.1,0.25466666666666665,0.008055363982396388,0.2275,18.01810908317566,0.01,2.0,0.0
False,,standard,poly,0.1,0.30466666666666664,0.016679994670929087,0.355,17.105554342269897,0.01,2.0,0.1
False,,standard,poly,0.1,0.3153333333333333,0.003399346342395193,0.365,17.175670862197876,0.01,2.0,0.5
False,,standard,poly,0.1,0.3333333333333333,0.021746008573733454,0.3075,16.862614631652832,0.01,2.0,1.0
False,,standard,poly,0.1,0.332,0.00489897948556636,0.3675,15.875002384185791,0.01,2.0,2.0
